RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Jake Matthews,Akbarh Arreola,2015-11-14,"Melbourne, Victoria, Australia", Australia,Jake Matthews,False,Lightweight,Australian,Akbarh Arreola,Other
Anthony Perosh,Gian Villante,2015-11-14,"Melbourne, Victoria, Australia", Australia,Gian Villante,False,Light Heavyweight,Other,Anthony Perosh,Australian
Richie Vaculik,Danny Martinez,2015-11-14,"Melbourne, Victoria, Australia", Australia,Danny Martinez,False,Flyweight,Other,Richie Vaculik,Australian
Daniel Kelly,Steve Montgomery,2015-11-14,"Melbourne, Victoria, Australia", Australia,Daniel Kelly,False,Middleweight,Australian,Steve Montgomery,Other
Ben Nguyen,Ryan Benoit,2015-11-14,"Melbourne, Victoria, Australia", Australia,Ben Nguyen,False,Flyweight,Australian,Ryan Benoit,Other
Antonio Silva,Soa Palelei,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Antonio Silva,False,Heavyweight,Other,Soa Palelei,Australian
Stipe Miocic,Mark Hunt,2015-05-09,"Adelaide, South Australia, Australia", Australia,Stipe Miocic,False,Heavyweight,Other,Mark Hunt,Australian
Brad Tavares,Robert Whittaker,2015-05-09,"Adelaide, South Australia, Australia", Australia,Robert Whittaker,False,Middleweight,Australian,Brad Tavares,Other
Anthony Perosh,Sean O'Connell,2015-05-09,"Adelaide, South Australia, Australia", Australia,Sean O'Connell,False,Light Heavyweight,Other,Anthony Perosh,Australian
Jake Matthews,James Vick,2015-05-09,"Adelaide, South Australia, Australia", Australia,James Vick,False,Lightweight,Other,Jake Matthews,Australian
Daniel Kelly,Sam Alvey,2015-05-09,"Adelaide, South Australia, Australia", Australia,Sam Alvey,False,Middleweight,Other,Daniel Kelly,Australian
Dylan Andrews,Bradley Scott,2015-05-09,"Adelaide, South Australia, Australia", Australia,Bradley Scott,False,Middleweight,Other,Dylan Andrews,Australian
Vik Grujic,Brendan O'Reilly,2015-05-09,"Adelaide, South Australia, Australia", Australia,Brendan O'Reilly,False,Welterweight,Australian,Vik Grujic,Australian
Alptekin Ozkilic,Ben Nguyen,2015-05-09,"Adelaide, South Australia, Australia", Australia,Ben Nguyen,False,Flyweight,Australian,Alptekin Ozkilic,Other
Daniel Kelly,Patrick Walsh,2015-02-14,"Broomfield, Colorado, USA", USA,Daniel Kelly,False,Middleweight,Australian,Patrick Walsh,Other
Fabricio Werdum,Mark Hunt,2014-11-15,"Mexico City, Distrito Federal, Mexico", Mexico,Fabricio Werdum,True,Heavyweight,Other,Mark Hunt,Australian
Robert Whittaker,Clint Hester,2014-11-07,"Sydney, New South Wales, Australia", Australia,Robert Whittaker,False,Middleweight,Australian,Clint Hester,Other
Soa Palelei,Walt Harris,2014-11-07,"Sydney, New South Wales, Australia", Australia,Soa Palelei,False,Heavyweight,Australian,Walt Harris,Other
Jake Matthews,Vagner Rocha,2014-11-07,"Sydney, New South Wales, Australia", Australia,Jake Matthews,False,Lightweight,Australian,Vagner Rocha,Other
Anthony Perosh,Guto Inocente,2014-11-07,"Sydney, New South Wales, Australia", Australia,Anthony Perosh,False,Light Heavyweight,Australian,Guto Inocente,Other
Dylan Andrews,Sam Alvey,2014-11-07,"Sydney, New South Wales, Australia", Australia,Sam Alvey,False,Middleweight,Other,Dylan Andrews,Australian
Richie Vaculik,Louis Smolka,2014-11-07,"Sydney, New South Wales, Australia", Australia,Louis Smolka,False,Flyweight,Other,Richie Vaculik,Australian
Vik Grujic,Chris Clements,2014-11-07,"Sydney, New South Wales, Australia", Australia,Chris Clements,False,Welterweight,Other,Vik Grujic,Australian
Luke Zachrich,Daniel Kelly,2014-11-07,"Sydney, New South Wales, Australia", Australia,Daniel Kelly,False,Middleweight,Australian,Luke Zachrich,Other
Mark Hunt,Roy Nelson,2014-09-20,"Saitama, Japan", Japan,Mark Hunt,False,Heavyweight,Australian,Roy Nelson,Other
Zhang Lipeng,Brendan O'Reilly,2014-08-23,"Macau, China", China,Zhang Lipeng,False,Lightweight,Other,Brendan O'Reilly,Australian
James Te Huna,Nate Marquardt,2014-06-28,"Auckland, New Zealand", New Zealand,Nate Marquardt,False,Middleweight,Other,James Te Huna,Australian
Soa Palelei,Jared Rosholt,2014-06-28,"Auckland, New Zealand", New Zealand,Jared Rosholt,False,Heavyweight,Other,Soa Palelei,Australian
Robert Whittaker,Mike Rhodes,2014-06-28,"Auckland, New Zealand", New Zealand,Robert Whittaker,False,Welterweight,Australian,Mike Rhodes,Other
Jake Matthews,Dashon Johnson,2014-06-28,"Auckland, New Zealand", New Zealand,Jake Matthews,False,Lightweight,Australian,Dashon Johnson,Other
Richie Vaculik,Roldan Sangcha-an,2014-06-28,"Auckland, New Zealand", New Zealand,Richie Vaculik,False,Flyweight,Australian,Roldan Sangcha-an,Other
Chris Indich,Vik Grujic,2014-06-28,"Auckland, New Zealand", New Zealand,Vik Grujic,False,Welterweight,Australian,Chris Indich,Other
Soa Palelei,Ruan Potts,2014-05-10,"Cincinnati, Ohio, USA", USA,Soa Palelei,False,Heavyweight,Australian,Ruan Potts,Other
Justin Salas,Ben Wall,2014-05-10,"Cincinnati, Ohio, USA", USA,Justin Salas,False,Lightweight,Other,Ben Wall,Australian
Nordine Taleb,Vik Grujic,2014-04-16,"Quebec City, Quebec, Canada", Canada,Nordine Taleb,False,Middleweight,Other,Vik Grujic,Australian
Robert Whittaker,Stephen Thompson,2014-02-22,"Las Vegas, Nevada, USA", USA,Stephen Thompson,False,Welterweight,Other,Robert Whittaker,Australian
Mauricio Rua,James Te Huna,2013-12-06,"Brisbane, Queensland, Australia", Australia,Mauricio Rua,False,Light Heavyweight,Other,James Te Huna,Australian
Ryan Bader,Anthony Perosh,2013-12-06,"Brisbane, Queensland, Australia", Australia,Ryan Bader,False,Light Heavyweight,Other,Anthony Perosh,Australian
Pat Barry,Soa Palelei,2013-12-06,"Brisbane, Queensland, Australia", Australia,Soa Palelei,False,Heavyweight,Australian,Pat Barry,Other
Dylan Andrews,Clint Hester,2013-12-06,"Brisbane, Queensland, Australia", Australia,Clint Hester,False,Middleweight,Other,Dylan Andrews,Australian
Richie Vaculik,Justin Scoggins,2013-12-06,"Brisbane, Queensland, Australia", Australia,Justin Scoggins,False,Flyweight,Other,Richie Vaculik,Australian
Ben Wall,Alex Garcia,2013-12-06,"Brisbane, Queensland, Australia", Australia,Alex Garcia,False,Welterweight,Other,Ben Wall,Australian
George Sotiropoulos,KJ Noons,2013-10-19,"Houston, Texas, USA", USA,KJ Noons,False,Lightweight,Other,George Sotiropoulos,Australian
Soa Palelei,Nikita Krylov,2013-08-31,"Milwaukee, Wisconsin, USA", USA,Soa Palelei,False,Heavyweight,Australian,Nikita Krylov,Other
Court McGee,Robert Whittaker,2013-08-28,"Indianapolis, Indiana, USA", USA,Court McGee,False,Welterweight,Other,Robert Whittaker,Australian
Dylan Andrews,Papy Abedi,2013-08-28,"Indianapolis, Indiana, USA", USA,Dylan Andrews,False,Middleweight,Australian,Papy Abedi,Other
Vinny Magalhaes,Anthony Perosh,2013-08-03,"Rio de Janeiro, Brazil", Brazil,Anthony Perosh,False,Light Heavyweight,Australian,Vinny Magalhaes,Other
Junior Dos Santos,Mark Hunt,2013-05-25,"Las Vegas, Nevada, USA", USA,Junior Dos Santos,False,Heavyweight,Other,Mark Hunt,Australian
Glover Teixeira,James Te Huna,2013-05-25,"Las Vegas, Nevada, USA", USA,Glover Teixeira,False,Light Heavyweight,Other,James Te Huna,Australian
Colton Smith,Robert Whittaker,2013-05-25,"Las Vegas, Nevada, USA", USA,Robert Whittaker,False,Welterweight,Australian,Colton Smith,Other
Dylan Andrews,Jimmy Quinlan,2013-04-13,"Las Vegas, Nevada, USA", USA,Dylan Andrews,False,Middleweight,Australian,Jimmy Quinlan,Other
Stefan Struve,Mark Hunt,2013-03-02,"Saitama, Japan", Japan,Mark Hunt,False,Heavyweight,Australian,Stefan Struve,Other
James Te Huna,Ryan Jimmo,2013-02-16,"London, England, United Kingdom", United Kingdom,James Te Huna,False,Light Heavyweight,Australian,Ryan Jimmo,Other
George Sotiropoulos,Ross Pearson,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Ross Pearson,False,Lightweight,Other,George Sotiropoulos,Australian
Robert Whittaker,Bradley Scott,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Robert Whittaker,True,Welterweight,Australian,Bradley Scott,Other
Benny Alloway,Manuel Rodriguez,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Benny Alloway,False,Welterweight,Other,Manuel Rodriguez,Australian
Anthony Perosh,Ryan Jimmo,2012-07-21,"Calgary, Alberta, Canada", Canada,Ryan Jimmo,False,Light Heavyweight,Other,Anthony Perosh,Australian
James Te Huna,Joey Beltran,2012-07-11,"San Jose, California, USA", USA,James Te Huna,False,Light Heavyweight,Australian,Joey Beltran,Other
Henry Martinez,Bernardo Magalhaes,2012-06-08,"Sunrise, Florida, USA", USA,Henry Martinez,False,Lightweight,Other,Bernardo Magalhaes,Australian
James Te Huna,Aaron Rosa,2012-03-02,"Sydney, New South Wales, Australia", Australia,James Te Huna,False,Light Heavyweight,Australian,Aaron Rosa,Other
Anthony Perosh,Nick Penner,2012-03-02,"Sydney, New South Wales, Australia", Australia,Anthony Perosh,False,Light Heavyweight,Australian,Nick Penner,Other
Mark Hunt,Cheick Kongo,2012-02-25,"Saitama, Japan", Japan,Mark Hunt,False,Heavyweight,Australian,Cheick Kongo,Other
Tim Means,Bernardo Magalhaes,2012-02-15,"Omaha, Nebraska, USA", USA,Tim Means,False,Lightweight,Other,Bernardo Magalhaes,Australian
Cyrille Diabate,Anthony Perosh,2011-11-05,"Birmingham, England, United Kingdom", United Kingdom,Anthony Perosh,False,Light Heavyweight,Australian,Cyrille Diabate,Other
Ben Rothwell,Mark Hunt,2011-09-24,"Denver, Colorado, USA", USA,Mark Hunt,False,Heavyweight,Australian,Ben Rothwell,Other
James Te Huna,Ricardo Romero,2011-09-24,"Denver, Colorado, USA", USA,James Te Huna,False,Light Heavyweight,Australian,Ricardo Romero,Other
George Sotiropoulos,Rafael Dos Anjos,2011-07-02,"Las Vegas, Nevada, USA", USA,Rafael Dos Anjos,False,Lightweight,Other,George Sotiropoulos,Australian
George Sotiropoulos,Dennis Siver,2011-02-26,"Sydney, New South Wales, Australia", Australia,Dennis Siver,False,Lightweight,Other,George Sotiropoulos,Australian
Alexander Gustafsson,James Te Huna,2011-02-26,"Sydney, New South Wales, Australia", Australia,Alexander Gustafsson,False,Light Heavyweight,Other,James Te Huna,Australian
Tom Blackledge,Anthony Perosh,2011-02-26,"Sydney, New South Wales, Australia", Australia,Anthony Perosh,False,Light Heavyweight,Australian,Tom Blackledge,Other
Mark Hunt,Chris Tuchscherer,2011-02-26,"Sydney, New South Wales, Australia", Australia,Mark Hunt,False,Heavyweight,Australian,Chris Tuchscherer,Other
George Sotiropoulos,Joe Lauzon,2010-11-20,"Auburn Hills, Michigan, USA", USA,George Sotiropoulos,False,Lightweight,Australian,Joe Lauzon,Other
Mark Hunt,Sean McCorkle,2010-09-25,"Indianapolis, Indiana, USA", USA,Sean McCorkle,False,Heavyweight,Other,Mark Hunt,Australian
George Sotiropoulos,Kurt Pellegrino,2010-07-03,"Las Vegas, Nevada, USA", USA,George Sotiropoulos,False,Lightweight,Australian,Kurt Pellegrino,Other
